cdc_case_earliest_dt,num_cases
2020/03/01,1206
2020/03/02,859
2020/03/03,932
2020/03/04,1009
2020/03/05,1092
2020/03/06,1394
2020/03/07,1471
2020/03/08,1773
2020/03/09,3017
2020/03/10,3785
2020/03/11,4170
2020/03/12,5227
2020/03/13,7200
2020/03/14,7114
2020/03/15,9702
2020/03/16,14091
2020/03/17,14791
2020/03/18,16642
2020/03/19,16443
2020/03/20,20053
2020/03/21,15280
2020/03/22,14981
2020/03/23,22532
2020/03/24,21502
2020/03/25,23619
2020/03/26,23672
2020/03/27,25356
2020/03/28,20437
2020/03/29,19330
2020/03/30,30037
2020/03/31,26322
2020/04/01,31595
2020/04/02,27380
2020/04/03,28587
2020/04/04,22942
2020/04/05,21539
2020/04/06,32675
2020/04/07,30833
2020/04/08,29935
2020/04/09,26813
2020/04/10,28579
2020/04/11,21419
2020/04/12,19254
2020/04/13,27071
2020/04/14,27891
2020/04/15,29761
2020/04/16,26423
2020/04/17,28117
2020/04/18,20408
2020/04/19,19191
2020/04/20,32341
2020/04/21,27891
2020/04/22,28681
2020/04/23,27910
2020/04/24,28699
2020/04/25,23185
2020/04/26,19582
2020/04/27,35585
2020/04/28,31154
2020/04/29,30305
2020/04/30,28113
2020/05/01,30717
2020/05/02,19148
2020/05/03,17030
2020/05/04,27781
2020/05/05,27155
2020/05/06,27197
2020/05/07,26698
2020/05/08,24864
2020/05/09,18269
2020/05/10,15419
2020/05/11,28448
2020/05/12,27371
2020/05/13,27968
2020/05/14,25213
2020/05/15,25941
2020/05/16,18362
2020/05/17,15682
2020/05/18,28575
2020/05/19,25901
2020/05/20,27955
2020/05/21,26381
2020/05/22,24378
2020/05/23,15205
2020/05/24,14119
2020/05/25,17853
2020/05/26,34983
2020/05/27,28193
2020/05/28,23469
2020/05/29,23436
2020/05/30,15923
2020/05/31,13323
2020/06/01,26310
2020/06/02,25360
2020/06/03,24031
2020/06/04,31748
2020/06/05,26039
2020/06/06,16599
2020/06/07,14044
2020/06/08,26204
2020/06/09,27742
2020/06/10,57033
2020/06/11,24074
2020/06/12,32721
2020/06/13,20998
2020/06/14,19733
2020/06/15,36720
2020/06/16,35236
2020/06/17,36606
2020/06/18,35998
2020/06/19,37632
2020/06/20,44041
2020/06/21,45978
2020/06/22,50303
2020/06/23,48137
2020/06/24,50307
2020/06/25,46066
2020/06/26,49237
2020/06/27,38522
2020/06/28,42671
2020/06/29,61416
2020/06/30,54684
2020/07/01,64079
2020/07/02,57106
2020/07/03,47849
2020/07/04,38041
2020/07/05,44368
2020/07/06,70139
2020/07/07,64158
2020/07/08,69117
2020/07/09,64649
2020/07/10,65238
2020/07/11,53925
2020/07/12,45122
2020/07/13,77496
2020/07/14,67038
2020/07/15,68153
2020/07/16,60062
2020/07/17,57967
2020/07/18,56364
2020/07/19,48727
2020/07/20,69988
2020/07/21,60127
2020/07/22,60472
2020/07/23,57281
2020/07/24,56055
2020/07/25,42971
2020/07/26,36547
2020/07/27,61841
2020/07/28,57095
2020/07/29,57934
2020/07/30,54641
2020/07/31,53439
2020/08/01,40902
2020/08/02,33345
2020/08/03,51435
2020/08/04,63189
2020/08/05,52818
2020/08/06,50309
2020/08/07,48754
