Date,Series_Complete_Cumulative,Series_Complete_Daily
01/01/2021,56597,9356
01/01/2022,210378438,17847
01/01/2023,229581410,772
01/02/2021,59709,3112
01/02/2022,210470142,91704
01/02/2023,229593115,11705
01/03/2021,62303,2594
01/03/2022,210670531,200389
01/03/2023,229615949,22834
01/04/2021,107970,45667
01/04/2022,210887459,216928
01/04/2023,229637430,21481
01/05/2021,196522,88552
01/05/2022,211103637,216178
01/05/2023,229659798,22368
01/06/2021,371487,174965
01/06/2022,211319761,216124
01/06/2023,229686222,26424
01/07/2021,655638,284151
01/07/2022,211569940,250179
01/07/2023,229698859,12637
01/08/2021,1023633,367995
01/08/2022,211747838,177898
01/08/2023,229705356,6497
01/09/2021,1153675,130042
01/09/2022,211824316,76478
01/09/2023,229725012,19656
01/10/2021,1223570,69895
01/10/2022,212017928,193612
01/10/2023,229745113,20101
01/11/2021,1550632,327062
01/11/2022,212222112,204184
01/11/2023,229764829,19716
01/12/2021,1868119,317487
01/12/2022,212426178,204066
01/12/2023,229784353,19524
01/13/2021,2141448,273329
01/13/2022,212618022,191844
01/13/2023,229806115,21762
01/14/2021,2279153,137705
01/14/2022,212795330,177308
01/14/2023,229815762,9647
01/15/2021,2401789,122636
01/15/2022,212883686,88356
01/15/2023,229820112,4350
01/16/2021,2474991,73202
01/16/2022,212942215,58529
01/16/2023,229831088,10976
01/17/2021,2517266,42275
01/17/2022,213084146,141931
01/17/2023,229847304,16216
01/18/2021,2746764,229498
01/18/2022,213275588,191442
01/18/2023,229862779,15475
01/19/2021,3107581,360817
01/19/2022,213465176,189588
01/19/2023,229877834,15055
01/20/2021,3532501,424920
01/20/2022,213644663,179487
01/20/2023,229894257,16423
01/21/2021,3811415,278914
01/21/2022,213809264,164601
01/21/2023,229900878,6621
01/22/2021,4024485,213070
01/22/2022,213893730,84466
01/22/2023,229903884,3006
01/23/2021,4177806,153321
01/23/2022,213958687,64957
01/23/2023,229916494,12610
01/24/2021,4267342,89536
01/24/2022,214121181,162494
01/24/2023,229930212,13718
01/25/2021,4761605,494263
01/25/2022,214299017,177836
01/25/2023,229943308,13096
01/26/2021,5347952,586347
01/26/2022,214480777,181760
01/26/2023,229956965,13657
01/27/2021,6000698,652746
01/27/2022,214658744,177967
01/27/2023,229972005,15040
01/28/2021,6563770,563072
01/28/2022,214872532,213788
01/28/2023,229977886,5881
01/29/2021,7063931,500161
01/29/2022,214986516,113984
01/29/2023,229980890,3004
01/30/2021,7309441,245510
01/30/2022,215054605,68089
01/30/2023,229992299,11409
01/31/2021,7439022,129581
01/31/2022,215215443,160838
01/31/2023,230004242,11943
02/01/2021,8025696,586674
02/01/2022,215378039,162596
02/01/2023,230015989,11747
02/02/2021,8731841,706145
02/02/2022,215534897,156858
02/02/2023,230028011,12022
02/03/2021,9573333,841492
02/03/2022,215677039,142142
02/03/2023,230041772,13761
02/04/2021,10493690,920357
02/04/2022,215864005,186966
02/04/2023,230047401,5629
02/05/2021,11461790,968100
02/05/2022,215999147,135142
02/05/2023,230050328,2927
02/06/2021,11886941,425151
02/06/2022,216061149,62002
02/06/2023,230061414,11086
02/07/2021,12045089,158148
02/07/2022,216195450,134301
02/07/2023,230072890,11476
02/08/2021,12755772,710683
02/08/2022,216343106,147656
02/08/2023,230084276,11386
02/09/2021,13659168,903396
02/09/2022,216490671,147565
02/09/2023,230095727,11451
02/10/2021,14704438,1045270
02/10/2022,216632798,142127
02/10/2023,230108315,12588
02/11/2021,15805159,1100721
02/11/2022,216809341,176543
02/11/2023,230113334,5019
02/12/2021,16971653,1166494
02/12/2022,216913220,103879
02/12/2023,230115461,2127
02/13/2021,17545883,574230
02/13/2022,216960327,47107
02/13/2023,230124894,9433
02/14/2021,17777513,231630
02/14/2022,217059612,99285
02/14/2023,230134193,9299
02/15/2021,18323001,545488
02/15/2022,217176757,117145
02/15/2023,230144802,10609
02/16/2021,19115477,792476
02/16/2022,217295521,118764
02/16/2023,230154575,9773
02/17/2021,20111570,996093
02/17/2022,217407138,111617
02/17/2023,230165457,10882
02/18/2021,21092098,980528
02/18/2022,217551980,144842
02/18/2023,230169385,3928
02/19/2021,22195115,1103017
02/19/2022,217631297,79317
02/19/2023,230171334,1949
02/20/2021,22880324,685209
02/20/2022,217673905,42608
02/20/2023,230178741,7407
02/21/2021,23207465,327141
02/21/2022,217762852,88947
02/21/2023,230188509,9768
02/22/2021,24016800,809335
02/22/2022,217863099,100247
02/22/2023,230197738,9229
02/23/2021,25051385,1034585
02/23/2022,217957491,94392
02/23/2023,230206765,9027
02/24/2021,26294065,1242680
02/24/2022,218044267,86776
02/24/2023,230217119,10354
02/25/2021,27645539,1351474
02/25/2022,218151036,106769
02/25/2023,230220972,3853
02/26/2021,29040426,1394887
02/26/2022,218216309,65273
02/26/2023,230222906,1934
02/27/2021,29864103,823677
02/27/2022,218248519,32210
02/27/2023,230232062,9156
02/28/2021,30163870,299767
02/28/2022,218330536,82017
02/28/2023,230241646,9584
03/01/2021,30976924,813054
03/01/2022,218405016,74480
03/01/2023,230251267,9621
03/02/2021,31947383,970459
03/02/2022,218477293,72277
03/02/2023,230260424,9157
03/03/2021,33083812,1136429
03/03/2022,218547345,70052
03/03/2023,230271123,10699
03/04/2021,34337816,1254004
03/04/2022,218636995,89650
03/04/2023,230275005,3882
03/05/2021,35659038,1321222
03/05/2022,218689507,52512
03/05/2023,230277012,2007
03/06/2021,36532157,873119
03/06/2022,218714464,24957
03/06/2023,230285602,8590
03/07/2021,36884011,351854
03/07/2022,218770180,55716
03/07/2023,230294436,8834
03/08/2021,37748021,864010
03/08/2022,218829339,59159
03/08/2023,230303450,9014
03/09/2021,38844767,1096746
03/09/2022,218889284,59945
03/09/2023,230312231,8781
03/10/2021,40128395,1283628
03/10/2022,218949557,60273
03/10/2023,230322165,9934
03/11/2021,41541840,1413445
03/11/2022,219024245,74688
03/11/2023,230325739,3574
03/12/2021,43084511,1542671
03/12/2022,219065832,41587
03/12/2023,230327518,1779
03/13/2021,44116183,1031672
03/13/2022,219086931,21099
03/13/2023,230335252,7734
03/14/2021,44548562,432379
03/14/2022,219138987,52056
03/14/2023,230343260,8008
03/15/2021,45428572,880010
03/15/2022,219192348,53361
03/15/2023,230351559,8299
03/16/2021,46492000,1063428
03/16/2022,219245562,53214
03/16/2023,230359757,8198
03/17/2021,47637696,1145696
03/17/2022,219294552,48990
03/17/2023,230368503,8746
03/18/2021,48855798,1218102
03/18/2022,219357035,62483
03/18/2023,230371710,3207
03/19/2021,50088903,1233105
03/19/2022,219394313,37278
03/19/2023,230373359,1649
03/20/2021,50955635,866732
03/20/2022,219412342,18029
03/20/2023,230381231,7872
03/21/2021,51336336,380701
03/21/2022,219457842,45500
03/21/2023,230389415,8184
03/22/2021,52151397,815061
03/22/2022,219502329,44487
03/22/2023,230397442,8027
03/23/2021,53312733,1161336
03/23/2022,219549440,47111
03/23/2023,230405361,7919
03/24/2021,54747062,1434329
03/24/2022,219593190,43750
03/24/2023,230414190,8829
03/25/2021,56407425,1660363
03/25/2022,219649084,55894
03/25/2023,230417503,3313
03/26/2021,58221293,1813868
03/26/2022,219679700,30616
03/26/2023,230419125,1622
03/27/2021,59391813,1170520
03/27/2022,219694844,15144
03/27/2023,230426528,7403
03/28/2021,59944968,553155
03/28/2022,219733681,38837
03/28/2023,230434403,7875
03/29/2021,61229018,1284050
03/29/2022,219774147,40466
03/29/2023,230442400,7997
03/30/2021,62900117,1671099
03/30/2022,219832419,58272
03/30/2023,230449910,7510
03/31/2021,64852669,1952552
03/31/2022,219898973,66554
03/31/2023,230457960,8050
04/01/2021,67123179,2270510
04/01/2022,219979788,80815
04/01/2023,230460669,2709
04/02/2021,68954015,1830836
04/02/2022,220024279,44491
04/02/2023,230462101,1432
04/03/2021,70118739,1164724
04/03/2022,220050252,25973
04/03/2023,230468663,6562
04/04/2021,70491683,372944
04/04/2022,220112537,62285
04/04/2023,230475347,6684
04/05/2021,72099738,1608055
04/05/2022,220174374,61837
04/05/2023,230482215,6868
04/06/2021,74190247,2090509
04/06/2022,220239170,64796
04/06/2023,230489186,6971
04/07/2021,76507143,2316896
04/07/2022,220302630,63460
04/07/2023,230495947,6761
04/08/2021,79041912,2534769
04/08/2022,220378144,75514
04/08/2023,230498666,2719
04/09/2021,81496071,2454159
04/09/2022,220420610,42466
04/09/2023,230499516,850
04/10/2021,83163225,1667154
04/10/2022,220445290,24680
04/10/2023,230506297,6781
04/11/2021,83968805,805580
04/11/2022,220507373,62083
04/11/2023,230513294,6997
04/12/2021,85698935,1730130
04/12/2022,220571063,63690
04/12/2023,230520042,6748
04/13/2021,87421998,1723063
04/13/2022,220633468,62405
04/13/2023,230526413,6371
04/14/2021,89353466,1931468
